author_name,3gram1,3gram2,3gram3
dependabot[bot],bump rack from,rack from 207,from 207 to
erfankashani,merge pull request,pull request 4,request 4 from
dependabot[bot],bump puma from,puma from 3121,from 3121 to
dependabot[bot],bump handlebars from,handlebars from 412,from 412 to
Kevin Tan,merge pull request,pull request 2,request 2 from
Taylor Kraft,automatically backed up,backed up by,up by learn
Benjamin Russell,finally fixing that,fixing that broken,that broken test
Talha A,added css support,css support and,support and menu
SoftMonster,remove spider keeper,spider keeper but,keeper but use
SoftMonster,make a start,a start on,start on the
kt,ensure acctest resource,acctest resource groups,resource groups follow
WayneMRP,dodanie do listy,do listy 20191130,listy 20191130 jacobgucci
1K2a3m4i,merge branch master,branch master into,master into patch41
WayneMRP,dodanie do listy,do listy 20191213,listy 20191213 stanislawszkodnik
WayneMRP,dopisanie do listy,do listy nowego,listy nowego powodu
WayneMRP,dodanie do listy,do listy 20191220,listy 20191220 sophiascottkhalitouta
WayneMRP,wpis na listę,na listę sorunbouychau,listę sorunbouychau 20191221
WayneMRP,dodanie do listy,do listy 20191230,listy 20191230 magnusmontoya
1K2a3m4i,merge pull request,pull request 64,request 64 from
1K2a3m4i,merge branch master,branch master into,master into patch46
1K2a3m4i,merge pull request,pull request 69,request 69 from
1K2a3m4i,merge pull request,pull request 70,request 70 from
1K2a3m4i,merge branch master,branch master into,master into patch48
1K2a3m4i,merge pull request,pull request 71,request 71 from
1K2a3m4i,merge branch master,branch master into,master into patch49
1K2a3m4i,merge pull request,pull request 72,request 72 from
1K2a3m4i,merge branch master,branch master into,master into patch51
1K2a3m4i,merge pull request,pull request 74,request 74 from
1K2a3m4i,merge branch master,branch master into,master into patch52
dependabot[bot],bump mixindeep from,mixindeep from 131,from 131 to
RohanBhirangi,merge pull request,pull request 3,request 3 from
YvonneHou98,add files via,files via upload,via upload resumeupdate1231
Jarek Potiuk,airflow6205 the airflow,the airflow db,airflow db shell
Zachary Jacobs,automatically backed up,backed up by,up by learn
seatacken,working on new,on new counter,new counter functionality
Blandine12,merge pull request,pull request 24,request 24 from
PowWow Admin,connect updated connect,updated connect version,connect version to
dependabot[bot],bump puma from,puma from 3121,from 3121 to
erfankashani,merge pull request,pull request 3,request 3 from
mambax7,case mismatch in,mismatch in method,in method call
WayneMRP,dodanie do listy,do listy frankstatham,listy frankstatham 20191231
1K2a3m4i,merge branch master,branch master into,master into patch52
1K2a3m4i,merge pull request,pull request 75,request 75 from
Joshua Lange,reverted accidental changes,accidental changes to,changes to archarmsrcsama5samethernetc
gycn,move label2d drawables,label2d drawables to,drawables to session
gycn,fix 2d labeling,2d labeling temporary,labeling temporary labels
gycn,label 2d viewer,2d viewer tests,viewer tests 317
gycn,fix 2d labeling,2d labeling 322,labeling 322 fix
Jiangbei Li,2d label unlinking,label unlinking 301,unlinking 301 begin
gycn,add test for,test for changing,for changing selected
gycn,dynamically add panes,add panes 302,panes 302 enable
gycn,add basic 3d,basic 3d viewer,3d viewer tests
ChrisP19,save once per,once per action,per action batch
gycn,render 3d bboxes,3d bboxes with,bboxes with color
gycn,fix 2d bbox,2d bbox tracking,bbox tracking inversion
Jiangbei Li,2d polyline 329,polyline 329 fix,329 fix deselect
gycn,make sure player,sure player control,player control is
Fisher Yu,remove unnecessary css,unnecessary css import,css import 356
Lily Zhang,tracking improvement 330,improvement 330 in,330 in progress
Jiangbei Li,polygon import and,import and export,and export test
gycn,double threshold for,threshold for jump,for jump to
gycn,antialias rotation marker,rotation marker height,marker height based
gycn,more views 342,views 342 add,342 add support
javapark1,changed header to,header to follow,to follow the
Nathan Seidle,move redundant iom,redundant iom setup,iom setup to
anower00,recent post and,post and trending,and trending post
Taylor Kraft,automatically backed up,backed up by,up by learn
ttrigui,use optimized version,optimized version for,version for convolve
Christopher Degawa,add define to,define to fix,to fix conflicting
Christopher Degawa,clangformat remove unknown,remove unknown rawstringformats,unknown rawstringformats delimiter
Christopher Degawa,prepend static to,static to allowedtxseta,to allowedtxseta in
Christopher Degawa,conflicts fix conflicts,fix conflicts with,conflicts with libaom
Ehron Gwinn,update map values,map values for,values for new
Saket Narayan,document workaround for,workaround for running,for running of
CarlosCastillo10,comentando la linea,la linea 32,linea 32 de
johnson chidubem,updated the yr,the yr from,yr from 2019
Binyamin Z,automatically backed up,backed up by,up by learn
endymion1818,if no search,no search results,search results say
endymion1818,category page looks,page looks like,looks like a
Sandeep Amarnath,basic version of,version of game,of game done
Sandeep Amarnath,erge branch master,branch master of,master of httpsgithubcomsandeepamarnathmemorywordgame
Sandeep Amarnath,fixing ui for,ui for mobile,for mobile 350px
Sandeep Amarnath,added code for,code for random,for random words
Sandeep Amarnath,fixed typo in,typo in words,in words library
SandeepAmarnath,merge branch master,branch master into,master into master
Prashant Shrestha,fetching parsing real,parsing real title,real title done
Christos Efstathiades,link to porto,to porto added,porto added lol
Egor Tensin,test add more,add more parser,more parser tests
David Sandberg,09 use int64,use int64 in,int64 in intcodecomputer
David Sandberg,07 update to,update to fit,to fit int64
David Sandberg,05 update to,update to fit,to fit int64
David Sandberg,09 add getinstruction,add getinstruction func,getinstruction func to
David Sandberg,02 update to,update to use,to use intcodecomputer
David Sandberg,09 add relativebase,add relativebase functionality,relativebase functionality to
Renovate Bot,update storybook monorepo,storybook monorepo to,monorepo to v528
AdrianValenciaSantos,final updates for,updates for mobile,for mobile format
Taylor Kraft,automatically backed up,backed up by,up by learn
Binyamin Z,automatically backed up,backed up by,up by learn
Gabriela Voll,fully php app,php app now,app now with
Gabriela Voll,updated readme and,readme and make,and make sure
Marc Ferland,had to downgrade,to downgrade to,downgrade to node
Jake Witcher,fix type in,type in languageconfigurationjson,in languageconfigurationjson of
Binyamin Z,automatically backed up,backed up by,up by learn
Cockpituous,images update continuousatomic,update continuousatomic image,continuousatomic image closes
Holly Rogers,added text to,text to about,to about me
Holly Rogers,modified imgs and,imgs and deleted,and deleted js
Danilo Margarido,go back to,back to 1804,to 1804 and
McSonk,muestra el nombre,el nombre de,nombre de usuario
McSonk,deshabilita el inputtext,el inputtext de,inputtext de nombre
Binyamin Z,automatically backed up,backed up by,up by learn
Juliano Dorigão,menu signedoffby juliano,signedoffby juliano dorigão,juliano dorigão jdorigaogmailcom
Taylor Kraft,automatically backed up,backed up by,up by learn
nukooo,use integer arithmetic,integer arithmetic for,arithmetic for timestamps
dependabot[bot],bump loofah from,loofah from 223,from 223 to
erfankashani,merge pull request,pull request 2,request 2 from
Site Autobuilder,autogenerated site via,site via github,via github actions
Cory Lynch,enable source map,source map for,map for webpack
Franck Nijhof,migrate input tests,input tests from,tests from coroutine
pull[bot],merge pull request,pull request 1101,request 1101 from
Jono,add weebot to,weebot to portfolio,to portfolio and
Jono,remove useless mixin,useless mixin and,mixin and update
Jono,merge branch server,branch server of,server of githubcomjonoaugustineportfolio
BenAlaa,close modal after,modal after create,after create task
Oscar Esteban,apply suggestions from,suggestions from code,from code review
Benjamin James,json api takes,api takes multiple,takes multiple requests
Pooya Davoodi,link to relevant,to relevant ops,relevant ops for
Taylor Kraft,automatically backed up,backed up by,up by learn
Yousef Akbar,added mic mute,mic mute functionality,mute functionality light
David Cohen,merge pull request,pull request 20,request 20 from
David Cohen,merge pull request,pull request 20,request 20 from
Steve Holmes,hide block display,block display adjust,display adjust other
blensink192,update posts “,posts “ top10albumsof2010,“ top10albumsof2010 ”
Brokalys bot,monthly price per,price per sqm,per sqm data
MichaelRomero,fixed authactions with,authactions with linter,with linter and
Allison Chou,implemented fix todo,fix todo fix,todo fix tests
Allison Chou,merge pull request,pull request 40651,request 40651 from
Michael Voříšek,fix birth date,birth date for,date for travis
Christian Tietz,gamesenginesdevilutionx cmakeutils cmake,cmakeutils cmake eclass,cmake eclass packagemanager
Christian Tietz,gamesenginesrbdoom3bfg cmakeutils cmake,cmakeutils cmake eclass,cmake eclass packagemanager
Danilo Margarido,move that to,that to the,to the next
MatthewTheGlutton,smglib add new,add new features,new features in
jhonnySAN,agregando jwt para,jwt para el,para el login
WayneMRP,dodanie do listy,do listy 20191130,listy 20191130 jacobgucci
1K2a3m4i,merge branch master,branch master into,master into patch41
WayneMRP,dodanie do listy,do listy 20191213,listy 20191213 stanislawszkodnik
WayneMRP,dopisanie do listy,do listy nowego,listy nowego powodu
WayneMRP,dodanie do listy,do listy 20191220,listy 20191220 sophiascottkhalitouta
WayneMRP,wpis na listę,na listę sorunbouychau,listę sorunbouychau 20191221
WayneMRP,dodanie do listy,do listy 20191230,listy 20191230 magnusmontoya
WayneMRP,dodanie do listy,do listy frankstatham,listy frankstatham 20191231
1K2a3m4i,merge pull request,pull request 64,request 64 from
1K2a3m4i,merge branch master,branch master into,master into patch46
1K2a3m4i,merge pull request,pull request 69,request 69 from
1K2a3m4i,merge pull request,pull request 70,request 70 from
1K2a3m4i,merge branch master,branch master into,master into patch48
1K2a3m4i,merge pull request,pull request 71,request 71 from
1K2a3m4i,merge branch master,branch master into,master into patch49
1K2a3m4i,merge pull request,pull request 72,request 72 from
1K2a3m4i,merge branch master,branch master into,master into patch51
1K2a3m4i,merge pull request,pull request 74,request 74 from
1K2a3m4i,merge branch master,branch master into,master into patch52
1K2a3m4i,merge pull request,pull request 75,request 75 from
Keyi Zhang,test windows build,windows build skip,build skip travis
Mike Ludkovski,converted plt2dsurf to,plt2dsurf to ggplot,to ggplot raster
Mike Ludkovski,merge branch master,branch master of,master of httpsgithubcommludkovmlosp
klawir,gui revision 1,revision 1 to,1 to main
klawir,popup revision 1,revision 1 the,1 the pref
klawir,text revision 1,revision 1 a,1 a pref
klawir,sound revision 1,revision 1 the,1 the pref
klawir,gui revision 2,revision 2 cosmetic,2 cosmetic fixes
Robin Unger,add faker gem,faker gem and,gem and seed
Robin Unger,display posts on,posts on user,on user pages
Robin Unger,add user profile,user profile picture,profile picture to
Robin Unger,write for post,for post like,post like counts
Robin Unger,update post link,post link button,link button style
Robin Unger,add likeunlike button,likeunlike button to,button to posts
Robin Unger,update likes to,likes to respond,to respond to
Robin Unger,add a link,a link to,link to view
Robin Unger,truncate posts when,posts when viewed,when viewed on
Omer Faruk Gul,merge branch master,branch master of,master of httpsgithubcomomergulomergulgithubio
Peter Mitrano,buttons work weird,work weird ui,weird ui include
Danilo Margarido,condense the runs,the runs into,runs into a
aqi-moscun,update file at,file at 20200101,at 20200101 004142
JooChan,added todo and,todo and added,and added projects
David Wilemski,newstyle format string,format string for,string for feed
WayneMRP,dodanie do listy,do listy patrickshaw,listy patrickshaw 20191231
1K2a3m4i,merge branch master,branch master into,master into patch53
1K2a3m4i,merge pull request,pull request 76,request 76 from
Renovate Bot,update storybook monorepo,storybook monorepo to,monorepo to v528
Renovate Bot,update dependency eslint,dependency eslint to,eslint to v680
Guangde Wang,added leetcode 740,leetcode 740 delete,740 delete and
hwong0305,added login link,login link to,link to register
wigforss,mavenreleaseplugin prepare for,prepare for next,for next development
deathbybandaid,update lists wed,lists wed jan,wed jan 1
ke0m,scripts for creation,for creation and,creation and qc
Frederick DenBleyker,automatically backed up,backed up by,up by learn
A-ee,merge branch master,branch master into,master into master
Vanessa Sochat,updating membership count,membership count data,count data to
Vanessa Sochat,ensure that we,that we use,we use the
mawork1,this is most,is most u,most u that
aaiden Nicolas Witten,automatically backed up,backed up by,up by learn
nodemcu-custom-build,prepare my buildconfig,my buildconfig for,buildconfig for custom
yossy222vrc,update images at,images at 20200101,at 20200101 094141
Qiong Zhou Huang,wow everything works,everything works im,works im so
Rommel Haynes,automatically backed up,backed up by,up by learn
Rabia Alhaffar,fixed errors in,errors in markdown,in markdown code
Renovate Bot,update storybook monorepo,storybook monorepo to,monorepo to v528
Renovate Bot,update dependency nuxt,dependency nuxt to,nuxt to v2110
Eric Liu,chorestorybook set 9090,set 9090 as,9090 as default
Eric Liu,refactortooltip rename showicon,rename showicon prop,showicon prop remove
Eric Liu,fixexpandabletile use css,use css to,css to ensure
Eric Liu,refactortilegroup change defaultselected,change defaultselected to,defaultselected to selected
Eric Liu,refactorselectabletile dispatch select,dispatch select unselect,select unselect events
Eric Liu,refactorexpandabletile include above,include above below,above below the
Eric Liu,refactorstructuredlist make structuredlistwrapper,make structuredlistwrapper default,structuredlistwrapper default component
Eric Liu,fixtimepickerselect change select,change select to,select to selectvalue
Eric Liu,refactorradiobuttongroup change defaultselected,change defaultselected to,defaultselected to selected
Eric Liu,refactorcomponents alphabetize exported,alphabetize exported props,exported props for
Eric Liu,merge pull request,pull request 95,request 95 from
toppk,clean up sqlite,up sqlite schema,sqlite schema add
toppk,im a pylint,a pylint slave,pylint slave now
toppk,escape partition so,partition so it,so it works
toppk,parted tweaks inspired,tweaks inspired by,inspired by a
toppk,swapped cables so,cables so they,so they are
toppk,new 16gb disk,16gb disk swapped,disk swapped sdosdn
toppk,stuff lying around,lying around and,around and initial
Cody Yu,update includetvmrelayattrsannotationh coauthoredby,includetvmrelayattrsannotationh coauthoredby 雾雨魔理沙,coauthoredby 雾雨魔理沙 lolisamarisamoe
